academic_year,jae_course_code,course_name,url
2023,C42,COMMON ENGINEERING PROGRAMME,https://www.nyp.edu.sg/schools/seg/full-time-courses/common-engineering-programme.html
2023,C43,DIPLOMA IN APPLIED AI & ANALYTICS,https://www.nyp.edu.sg/schools/sit/full-time-courses/applied-ai-and-analytics.html
2023,C45,DIPLOMA IN APPLIED CHEMISTRY,https://www.nyp.edu.sg/schools/sas/full-time-courses/applied-chemistry.html
2023,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,https://www.nyp.edu.sg/schools/sbm/full-time-courses/food-and-beverage-business.html
2023,C47,DIPLOMA IN SOCIAL WORK,https://www.nyp.edu.sg/schools/shss/full-time-courses/social-work.html
2023,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,https://www.nyp.edu.sg/schools/sas/full-time-courses/biologics-and-process-technology.html
2023,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,https://www.nyp.edu.sg/schools/seg/full-time-courses/nanotechnology-and-materials-science.html
2023,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,https://www.nyp.edu.sg/schools/seg/full-time-courses/aeronautical-and-aerospace-technology.html
2023,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,https://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-systems-and-management.html
2023,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,https://www.nyp.edu.sg/schools/sit/full-time-courses/cybersecurity-and-digital-forensics.html
2023,C62,DIPLOMA IN ADVANCED & DIGITAL MANUFACTURING,https://www.nyp.edu.sg/schools/seg/full-time-courses/advanced-and-digital-manufacturing.html
2023,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,https://www.nyp.edu.sg/schools/sas/full-time-courses/pharmaceutical-science.html
2023,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,https://www.nyp.edu.sg/schools/sbm/full-time-courses/hospitality-and-tourism-management.html
2023,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,https://www.nyp.edu.sg/schools/sas/full-time-courses/food-science-and-nutrition.html
2023,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,https://www.nyp.edu.sg/schools/sdm/full-time-courses/game-development-and-technology.html
2023,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,https://www.nyp.edu.sg/schools/seg/full-time-courses/biomedical-engineering.html
2023,C72,DIPLOMA IN ORAL HEALTH THERAPY,https://www.nyp.edu.sg/schools/shss/full-time-courses/oral-health-therapy.html
2023,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,https://www.nyp.edu.sg/schools/sas/full-time-courses/chemical-and-pharmaceutical-technology.html
2023,C75,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,https://www.nyp.edu.sg/schools/seg/full-time-courses/infocomm-and-media-engineering.html
2023,C80,DIPLOMA IN INFOCOMM & SECURITY,https://www.nyp.edu.sg/schools/sit/full-time-courses/infocomm-and-security.html
2023,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,https://www.nyp.edu.sg/schools/sbm/full-time-courses/sports-and-wellness.html
2023,C85,DIPLOMA IN INFORMATION TECHNOLOGY,https://www.nyp.edu.sg/schools/sit/full-time-courses/information-technology.html
2023,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,https://www.nyp.edu.sg/schools/seg/full-time-courses/robotics-and-mechatronics.html
2023,C89,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,https://www.nyp.edu.sg/schools/seg/full-time-courses/electronic-computer-engineering.html
2023,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,https://www.nyp.edu.sg/schools/sbm/full-time-courses/mass-media-management.html
2023,C94,DIPLOMA IN BUSINESS MANAGEMENT,https://www.nyp.edu.sg/schools/sbm/full-time-courses/business-management.html
2023,C96,DIPLOMA IN BANKING AND FINANCE,https://www.nyp.edu.sg/schools/sbm/full-time-courses/banking-and-finance.html
2023,C97,DIPLOMA IN NURSING,https://www.nyp.edu.sg/schools/shss/full-time-courses/nursing.html
2023,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,https://www.nyp.edu.sg/schools/sbm/full-time-courses/accountancy-and-finance.html
